iter	Passed	Remaining
739	36143	12698
740	36191	12649
741	36226	12596
742	36259	12541
743	36308	12493
744	36367	12448
745	36408	12396
746	36449	12344
747	36484	12291
748	36518	12237
749	36552	12184
750	36613	12139
751	36650	12087
752	36704	12039
753	36762	11994
754	36812	11945
755	36847	11892
756	36909	11847
757	36968	11802
758	37026	11756
759	37072	11707
760	37105	11653
761	37164	11607
762	37202	11555
763	37261	11510
764	37299	11458
765	37334	11404
766	37395	11360
767	37438	11309
768	37474	11256
769	37513	11205
770	37571	11159
771	37605	11106
772	37652	11057
773	37715	11012
774	37756	10961
775	37792	10909
776	37854	10864
777	37888	10811
778	37922	10758
779	37991	10715
780	38030	10664
781	38082	10616
782	38142	10570
783	38202	10525
784	38243	10474
785	38278	10421
786	38312	10369
787	38374	10324
788	38433	10278
789	38494	10232
790	38528	10180
791	38556	10125
792	38604	10076
793	38655	10028
794	38714	9982
795	38772	9936
796	38816	9886
797	38863	9837
798	38912	9789
799	38971	9742
800	39009	9691
801	39043	9639
802	39091	9590
803	39149	9543
804	39204	9496
805	39259	9449
806	39307	9400
807	39342	9348
808	39377	9296
809	39430	9249
810	39467	9197
811	39503	9146
812	39565	9100
813	39606	9050
814	39666	9004
815	39700	8952
816	39734	8900
817	39796	8854
818	39836	8803
819	39895	8757
820	39956	8711
821	40018	8665
822	40060	8615
823	40118	8569
824	40178	8522
825	40211	8470
826	40272	8424
827	40309	8373
828	40364	8326
829	40407	8276
830	40455	8227
831	40514	8180
832	40548	8129
833	40612	8083
834	40671	8036
835	40732	7990
836	40769	7939
837	40826	7892
838	40883	7845
839	40932	7796
840	40981	7748
841	41024	7698
842	41057	7646
843	41093	7595
844	41128	7544
845	41183	7496
846	41242	7450
847	41290	7401
848	41325	7349
849	41362	7299
850	41426	7253
851	41487	7206
852	41524	7156
853	41574	7107
854	41632	7060
855	41684	7012
856	41745	6965
857	41784	6915
858	41835	6867
859	41894	6820
860	41953	6772
861	42014	6726
862	42070	6678
863	42124	6630
864	42182	6583
865	42243	6536
866	42304	6489
867	42358	6441
868	42396	6391
869	42455	6343
870	42489	6292
871	42550	6245
872	42587	6195
873	42648	6148
874	42685	6097
875	42743	6050
876	42803	6003
877	42837	5952
878	42871	5901
879	42904	5850
880	42964	5803
881	42999	5752
882	43061	5705
883	43118	5658
884	43176	5610
885	43227	5562
886	43268	5512
887	43320	5463
888	43380	5416
889	43433	5368
890	43468	5317
891	43529	5270
892	43590	5223
893	43647	5175
894	43685	5125
895	43726	5075
896	43784	5027
897	43818	4977
898	43877	4929
899	43935	4881
900	43993	4833
901	44052	4786
902	44113	4738
903	44160	4689
904	44220	4641
905	44258	4591
906	44308	4543
907	44367	4495
908	44421	4447
909	44454	4396
910	44488	4346
911	44547	4298
912	44585	4248
913	44641	4200
914	44701	4152
915	44759	4104
916	44803	4055
917	44861	4007
918	44918	3959
919	44963	3909
920	45026	3862
921	45088	3814
922	45139	3765
923	45182	3716
924	45240	3668
925	45300	3620
926	45333	3569
927	45369	3520
928	45403	3470
929	45460	3421
930	45520	3373
931	45557	3323
932	45585	3273
933	45632	3224
934	45681	3175
935	45721	3126
936	45780	3078
937	45841	3030
938	45898	2981
939	45960	2933
940	46020	2885
941	46077	2837
942	46136	2788
943	46194	2740
944	46258	2692
945	46317	2643
946	46375	2595
947	46436	2547
948	46470	2497
949	46522	2448
950	46557	2398
951	46619	2350
952	46652	2300
953	46685	2251
954	46744	2202
955	46783	2153
956	46815	2103
957	46873	2055
958	46916	2005
959	46963	1956
960	47022	1908
961	47079	1859
962	47140	1811
963	47202	1762
964	47259	1714
965	47291	1664
966	47350	1615
967	47404	1567
968	47439	1517
969	47489	1468
970	47537	1419
971	47582	1370
972	47635	1321
973	47668	1272
974	47710	1223
975	47773	1174
976	47807	1125
977	47869	1076
978	47926	1028
979	47966	978
980	48001	929
981	48036	880
982	48071	831
983	48104	782
984	48167	733
985	48224	684
986	48283	635
987	48341	587
988	48400	538
989	48432	489
990	48494	440
991	48555	391
992	48613	342
993	48658	293
994	48692	244
995	48740	195
996	48800	146
997	48855	97
998	48890	48
999	48925	0
